date,temperature,humidity,luminosity
2019-12-11 14:41:07.557,21.5,31.3,310
2019-12-11 14:41:09.830,21.5,31.4,310
2019-12-11 14:41:12.108,21.6,31.5,307
2019-12-11 14:41:14.385,21.5,31.5,310
2019-12-11 14:41:16.659,21.5,31.5,310
2019-12-11 14:41:18.936,21.6,31.6,307
2019-12-11 14:41:21.213,21.5,31.6,307
2019-12-11 14:41:23.486,21.6,31.6,307
2019-12-11 14:41:25.763,21.6,31.6,334
2019-12-11 14:41:28.037,21.5,31.6,328
2019-12-11 14:41:30.314,21.6,31.5,331
2019-12-11 14:41:32.593,21.5,31.5,331
2019-12-11 14:41:34.864,21.5,31.5,331
2019-12-11 14:41:37.142,21.6,31.4,331
2019-12-11 14:41:39.419,21.6,31.4,337
2019-12-11 14:41:41.692,21.5,31.3,337
2019-12-11 14:41:43.970,21.6,31.3,337
2019-12-11 14:41:46.247,21.6,31.3,334
2019-12-11 14:41:48.520,21.6,31.3,334
2019-12-11 14:41:50.798,21.6,31.2,297
2019-12-11 14:41:53.071,21.5,31.2,295
2019-12-11 14:41:55.348,21.6,31.2,295
2019-12-11 14:41:57.626,21.6,31.2,305
2019-12-11 14:41:59.899,21.6,31.2,305
2019-12-11 14:42:02.176,21.6,31.2,302
2019-12-11 14:42:04.450,21.6,31.1,302
2019-12-11 14:42:06.727,21.6,31.1,317
2019-12-11 14:42:09.004,21.6,31.0,320
2019-12-11 14:42:11.277,21.6,31.0,317
2019-12-11 14:42:13.555,21.6,30.9,317
2019-12-11 14:42:15.833,21.6,30.8,312
2019-12-11 14:42:18.105,21.5,30.8,305
2019-12-11 14:42:20.382,21.6,30.7,320
2019-12-11 14:42:22.656,21.6,30.7,323
2019-12-11 14:42:24.933,21.6,30.7,320
2019-12-11 14:42:27.210,21.6,30.7,317
2019-12-11 14:42:29.484,21.6,30.6,317
2019-12-11 14:42:31.761,21.5,30.6,315
2019-12-11 14:42:34.034,21.5,30.7,320
2019-12-11 14:42:36.312,21.5,30.8,320
2019-12-11 14:42:38.589,21.6,30.8,317
2019-12-11 14:42:40.862,21.6,30.8,317
2019-12-11 14:42:43.140,21.5,30.9,320
2019-12-11 14:42:45.417,21.6,30.9,320
2019-12-11 14:42:47.690,21.5,30.9,320
2019-12-11 14:42:49.968,21.5,30.9,331
2019-12-11 14:42:52.246,21.6,30.9,315
2019-12-11 14:42:54.519,21.6,30.9,315
2019-12-11 14:42:56.795,21.6,30.9,317
2019-12-11 14:42:59.069,21.6,30.8,317
2019-12-11 14:43:01.347,21.5,30.8,315
2019-12-11 14:43:03.624,21.6,30.8,317
2019-12-11 14:43:05.897,21.6,30.7,315
2019-12-11 14:43:08.174,21.6,30.7,315
2019-12-11 14:43:10.448,21.6,30.7,315
2019-12-11 14:43:12.725,21.6,30.6,312
2019-12-11 14:43:15.002,21.6,30.7,310
2019-12-11 14:43:17.275,21.6,30.7,312
2019-12-11 14:43:19.553,21.6,30.6,315
2019-12-11 14:43:21.830,21.6,30.6,315
2019-12-11 14:43:24.104,21.6,30.5,312
2019-12-11 14:43:26.381,21.6,30.5,312
2019-12-11 14:43:28.654,21.6,30.4,315
2019-12-11 14:43:30.931,21.6,30.4,315
2019-12-11 14:43:33.208,21.6,30.3,315
2019-12-11 14:43:35.482,21.6,30.3,312
2019-12-11 14:43:37.759,21.6,30.3,312
2019-12-11 14:43:40.032,21.6,30.3,312
2019-12-11 14:43:42.309,21.6,30.3,312
2019-12-11 14:43:44.587,21.6,30.3,312
2019-12-11 14:43:46.860,21.6,30.4,312
2019-12-11 14:43:49.138,21.6,30.5,315
2019-12-11 14:43:51.410,21.6,30.5,315
2019-12-11 14:43:53.689,21.6,30.5,315
2019-12-11 14:43:55.966,21.6,30.5,317
2019-12-11 14:43:58.239,21.6,30.4,315
2019-12-11 14:44:00.517,21.6,30.4,312
2019-12-11 14:44:02.790,21.6,30.3,315
2019-12-11 14:44:05.067,21.6,30.4,315
2019-12-11 14:44:07.344,21.6,30.3,315
2019-12-11 14:44:09.618,21.6,30.3,315
2019-12-11 14:44:11.895,21.6,30.3,315
2019-12-11 14:44:14.168,21.6,30.4,315
2019-12-11 14:44:16.445,21.6,30.4,315
2019-12-11 14:44:18.722,21.6,30.5,317
2019-12-11 14:44:20.996,21.6,30.6,315
2019-12-11 14:44:23.273,21.6,30.6,315
2019-12-11 14:44:25.547,21.6,30.6,315
2019-12-11 14:44:27.824,21.6,30.7,317
2019-12-11 14:44:30.101,21.6,30.7,315
2019-12-11 14:44:32.375,21.6,30.7,315
2019-12-11 14:44:34.652,21.6,30.7,315
2019-12-11 14:44:36.929,21.6,30.8,315
2019-12-11 14:44:39.203,21.6,30.8,315
2019-12-11 14:44:41.480,21.6,30.8,315
2019-12-11 14:44:43.753,21.6,30.7,315
2019-12-11 14:44:46.031,21.6,30.7,317
2019-12-11 14:44:48.308,21.6,30.7,315
2019-12-11 14:44:50.581,21.6,30.7,315
2019-12-11 14:44:52.859,21.6,30.7,315
2019-12-11 14:44:55.131,21.6,30.7,315
2019-12-11 14:44:57.409,21.6,30.6,315
2019-12-11 14:44:59.686,21.6,30.6,312
2019-12-11 14:45:01.960,21.6,30.7,315
2019-12-11 14:45:04.237,21.6,30.7,315
2019-12-11 14:45:06.515,21.6,30.7,315
2019-12-11 14:45:08.787,21.6,30.8,315
2019-12-11 14:45:11.064,21.6,30.8,315
2019-12-11 14:45:13.338,21.6,30.8,315
2019-12-11 14:45:15.615,21.6,30.8,315
2019-12-11 14:45:17.893,21.6,30.8,315
2019-12-11 14:45:20.166,21.6,30.9,315
2019-12-11 14:45:22.443,21.6,30.9,315
2019-12-11 14:45:24.716,21.6,30.8,315
2019-12-11 14:45:26.994,21.6,30.8,312
2019-12-11 14:45:29.271,21.6,30.8,315
2019-12-11 14:45:31.546,21.6,30.8,312
2019-12-11 14:45:33.822,21.6,30.8,315
2019-12-11 14:45:36.099,21.6,30.8,315
2019-12-11 14:45:39.676,21.6,30.8,310
2019-12-11 14:45:49.616,21.6,30.8,310
2019-12-11 14:45:49.617,21.6,30.8,310
2019-12-11 14:45:49.617,21.6,30.8,310
2019-12-11 14:45:49.617,21.6,30.8,307
2019-12-11 14:45:54.660,21.6,30.7,307
2019-12-11 14:45:54.660,21.6,30.7,307
2019-12-11 14:45:57.243,21.6,30.7,307
2019-12-11 14:45:57.247,21.6,30.7,307
2019-12-11 14:45:59.860,21.6,30.7,307
2019-12-11 14:46:01.129,21.6,30.7,310
2019-12-11 14:46:03.406,21.6,30.7,310
2019-12-11 14:46:05.684,21.6,30.7,305
2019-12-11 14:46:07.957,21.6,30.7,310
2019-12-11 14:46:10.235,21.6,30.7,310
2019-12-11 14:46:12.508,21.6,30.7,310
2019-12-11 14:46:14.785,21.6,30.7,302
2019-12-11 14:46:17.062,21.6,30.7,300
2019-12-11 14:46:19.337,21.6,30.7,310
2019-12-11 14:46:21.613,21.6,30.7,310
2019-12-11 14:46:23.886,21.6,30.7,315
2019-12-11 14:46:26.164,21.6,30.7,312
2019-12-11 14:46:28.442,21.6,30.7,315
2019-12-11 14:46:30.718,21.6,30.7,312
2019-12-11 14:46:32.991,21.6,30.7,302
2019-12-11 14:46:35.265,21.6,30.7,300
2019-12-11 14:46:37.542,21.6,30.7,295
2019-12-11 14:46:39.820,21.6,30.7,295
2019-12-11 14:46:42.094,21.6,30.7,295
2019-12-11 14:46:44.370,21.6,30.7,305
2019-12-11 14:46:46.648,21.6,30.7,302
2019-12-11 14:46:48.921,21.6,30.7,302
2019-12-11 14:46:51.198,21.6,30.7,302
2019-12-11 14:46:53.471,21.6,30.7,305
2019-12-11 14:46:55.749,21.6,30.7,293
2019-12-11 14:46:58.026,21.6,30.6,295
2019-12-11 14:47:00.299,21.6,30.6,300
2019-12-11 14:47:02.576,21.6,30.6,302
2019-12-11 14:47:04.850,21.6,30.6,305
2019-12-11 14:47:07.127,21.6,30.6,300
2019-12-11 14:47:09.405,21.6,30.6,295
2019-12-11 14:47:11.678,21.6,30.6,315
2019-12-11 14:47:13.955,21.6,30.6,297
2019-12-11 14:47:16.233,21.6,30.6,300
2019-12-11 14:47:18.506,21.6,30.6,310
2019-12-11 14:47:20.784,21.6,30.6,312
2019-12-11 14:47:23.056,21.6,30.6,315
2019-12-11 14:47:25.333,21.6,30.6,310
2019-12-11 14:47:27.611,21.6,30.6,310
2019-12-11 14:47:29.885,21.6,30.6,312
2019-12-11 14:47:32.162,21.6,30.6,315
2019-12-11 14:47:34.435,21.6,30.6,315
2019-12-11 14:47:36.713,21.6,30.6,315
2019-12-11 14:47:38.990,21.6,30.6,293
2019-12-11 14:47:41.263,21.6,30.6,293
2019-12-11 14:47:43.540,21.6,30.6,293
2019-12-11 14:47:45.818,21.6,30.6,315
2019-12-11 14:47:48.091,21.6,30.6,315
2019-12-11 14:47:50.369,21.6,30.6,315
2019-12-11 14:47:52.641,21.6,30.6,315
2019-12-11 14:47:54.918,21.6,30.6,315
2019-12-11 14:47:57.196,21.6,30.6,315
2019-12-11 14:47:59.469,21.6,30.6,315
2019-12-11 14:48:01.747,21.6,30.6,315
2019-12-11 14:48:04.020,21.6,30.6,315
2019-12-11 14:48:06.298,21.6,30.6,315
2019-12-11 14:48:08.576,21.6,30.5,315
2019-12-11 14:48:10.848,21.6,30.5,315
2019-12-11 14:48:13.127,21.6,30.5,315
2019-12-11 14:48:15.399,21.6,30.5,315
2019-12-11 14:48:17.676,21.6,30.5,315
2019-12-11 14:48:19.953,21.6,30.5,315
2019-12-11 14:48:22.227,21.6,30.5,315
2019-12-11 14:48:24.503,21.6,30.5,315
2019-12-11 14:48:26.777,21.6,30.5,317
2019-12-11 14:48:29.054,21.6,30.4,315
2019-12-11 14:48:31.331,21.6,30.4,315
2019-12-11 14:48:33.605,21.6,30.4,315
2019-12-11 14:48:35.883,21.6,30.4,307
2019-12-11 14:48:38.156,21.6,30.3,293
2019-12-11 14:48:40.433,21.6,30.3,295
2019-12-11 14:48:42.710,21.7,30.4,305
2019-12-11 14:48:44.984,21.6,30.3,291
2019-12-11 14:48:47.261,21.6,30.3,284
2019-12-11 14:48:49.535,21.6,30.4,282
2019-12-11 14:48:51.812,21.7,30.5,277
2019-12-11 14:48:54.089,21.6,30.5,275
2019-12-11 14:48:56.362,21.7,30.6,273
2019-12-11 14:48:58.640,21.6,30.6,300
2019-12-11 14:49:00.916,21.6,30.7,295
2019-12-11 14:49:03.190,21.6,30.8,297
2019-12-11 14:49:05.468,21.7,30.9,271
2019-12-11 14:49:07.741,21.6,30.9,288
2019-12-11 14:49:10.018,21.6,30.9,288
2019-12-11 14:49:12.305,21.7,31.0,286
2019-12-11 14:49:14.568,21.7,31.0,300
2019-12-11 14:49:16.845,21.6,31.2,300
2019-12-11 14:49:19.123,21.7,31.7,291
2019-12-11 14:49:21.396,21.6,31.8,277
2019-12-11 14:49:23.674,21.7,32.1,284
2019-12-11 14:49:25.947,21.7,32.5,286
2019-12-11 14:49:28.225,21.7,33.3,284
2019-12-11 14:49:30.503,21.7,33.5,286
2019-12-11 14:49:32.775,21.7,33.9,286
2019-12-11 14:49:35.052,21.7,33.8,286
2019-12-11 14:49:37.330,21.7,33.4,288
2019-12-11 14:49:39.603,21.7,33.0,291
2019-12-11 14:49:41.880,21.7,32.6,293
2019-12-11 14:49:44.157,21.7,32.3,288
2019-12-11 14:49:46.430,21.7,32.1,288
2019-12-11 14:49:48.708,21.7,31.8,288
2019-12-11 14:49:50.981,21.7,31.6,286
2019-12-11 14:49:53.259,21.7,31.4,282
2019-12-11 14:49:55.537,21.7,31.2,280
2019-12-11 14:49:57.809,21.7,31.1,293
2019-12-11 14:50:00.087,21.7,30.9,300
2019-12-11 14:50:02.364,21.7,30.8,295
2019-12-11 14:50:04.637,21.7,30.6,291
2019-12-11 14:50:06.914,21.7,30.6,307
2019-12-11 14:50:09.188,21.7,30.5,305
2019-12-11 14:50:11.465,21.7,30.4,305
2019-12-11 14:50:13.743,21.7,30.4,305
2019-12-11 14:50:16.016,21.7,30.3,305
2019-12-11 14:50:18.293,21.7,30.3,305
2019-12-11 14:50:20.571,21.7,30.3,305
2019-12-11 14:50:22.844,21.7,30.3,307
2019-12-11 14:50:25.121,21.8,30.3,302
2019-12-11 14:50:27.395,21.7,30.3,300
2019-12-11 14:50:29.673,21.7,30.3,300
2019-12-11 14:50:31.949,21.7,30.3,312
2019-12-11 14:50:34.222,21.7,30.4,310
2019-12-11 14:50:36.500,21.7,30.4,312
2019-12-11 14:50:38.777,21.7,30.5,315
2019-12-11 14:50:41.050,21.8,30.5,315
2019-12-11 14:50:43.327,21.7,30.4,315
2019-12-11 14:50:45.601,21.7,30.4,315
2019-12-11 14:50:47.878,21.7,30.3,315
2019-12-11 14:50:50.155,21.7,30.3,312
2019-12-11 14:50:52.430,21.7,30.3,315
2019-12-11 14:50:54.706,21.7,30.3,312
2019-12-11 14:50:56.984,21.7,30.3,312
2019-12-11 14:50:59.257,21.7,30.2,312
2019-12-11 14:51:01.535,21.7,30.2,295
2019-12-11 14:51:03.808,21.7,30.2,267
2019-12-11 14:51:06.086,21.7,30.1,263
2019-12-11 14:51:08.362,21.7,30.2,267
2019-12-11 14:51:10.636,21.7,30.2,282
2019-12-11 14:51:12.913,21.7,30.2,254
2019-12-11 14:51:15.186,21.7,30.2,260
2019-12-11 14:51:17.463,21.7,30.2,256
2019-12-11 14:51:19.740,21.7,30.2,261
2019-12-11 14:51:22.013,21.7,30.3,260
2019-12-11 14:51:24.292,21.7,30.3,267
2019-12-11 14:51:26.568,21.7,30.3,295
2019-12-11 14:51:28.842,21.7,30.3,286
2019-12-11 14:51:31.119,21.7,30.2,280
2019-12-11 14:51:33.392,21.7,30.2,286
2019-12-11 14:51:35.670,21.7,30.2,284
2019-12-11 14:51:37.947,21.7,30.1,288
2019-12-11 14:51:40.220,21.7,30.1,280
2019-12-11 14:51:42.497,21.7,30.1,291
2019-12-11 14:51:44.775,21.7,30.1,307
2019-12-11 14:51:47.048,21.7,30.0,312
2019-12-11 14:51:49.326,21.7,30.0,312
2019-12-11 14:51:51.603,21.8,29.9,307
2019-12-11 14:51:53.876,21.7,30.0,307
2019-12-11 14:51:56.154,21.7,30.0,305
2019-12-11 14:51:58.426,21.7,30.0,275
2019-12-11 14:52:00.704,21.7,30.1,277
2019-12-11 14:52:02.981,21.7,30.1,280
2019-12-11 14:52:05.255,21.7,30.1,282
2019-12-11 14:52:07.532,21.7,30.1,282
2019-12-11 14:52:09.809,21.7,30.1,302
2019-12-11 14:52:12.083,21.7,30.1,297
2019-12-11 14:52:14.360,21.8,30.1,282
2019-12-11 14:52:16.633,21.8,30.2,288
2019-12-11 14:52:18.910,21.7,30.2,295
2019-12-11 14:52:21.188,21.7,30.2,293
2019-12-11 14:52:23.461,21.7,30.1,284
2019-12-11 14:52:25.738,21.8,30.1,297
2019-12-11 14:52:28.015,21.7,30.1,293
2019-12-11 14:52:30.289,21.7,30.1,295
2019-12-11 14:52:32.567,21.7,30.1,297
2019-12-11 14:52:34.839,21.8,30.0,297
2019-12-11 14:52:37.116,21.8,30.0,297
2019-12-11 14:52:39.394,21.8,30.0,293
2019-12-11 14:52:41.667,21.7,30.0,295
2019-12-11 14:52:43.945,21.8,30.0,286
2019-12-11 14:52:46.222,21.8,30.0,291
2019-12-11 14:52:48.496,21.7,30.0,295
2019-12-11 14:52:50.774,21.7,30.0,297
2019-12-11 14:52:53.046,21.8,30.0,295
2019-12-11 14:52:55.323,21.8,30.0,286
2019-12-11 14:52:57.601,21.8,29.9,295
2019-12-11 14:52:59.874,21.7,29.9,267
2019-12-11 14:53:02.152,21.8,29.9,293
2019-12-11 14:53:04.428,21.8,30.0,295
2019-12-11 14:53:06.701,21.8,30.0,312
2019-12-11 14:53:08.979,21.8,30.1,312
2019-12-11 14:53:11.252,21.8,30.0,315
2019-12-11 14:53:13.530,21.7,30.0,315
2019-12-11 14:53:15.807,21.8,30.0,315
2019-12-11 14:53:18.081,21.8,29.9,312
2019-12-11 14:53:20.358,21.8,30.0,312
2019-12-11 14:53:22.636,21.8,30.0,315
2019-12-11 14:53:24.908,21.8,29.9,312
2019-12-11 14:53:27.186,21.8,29.9,315
